Timestamp,Size,Source IP,Destination IP,Source Port,Destination Port
1739448546.363817,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.36426,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.364939,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.364939,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.365492,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.365779,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.366805,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.366805,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.367124,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.367624,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.367752,75,10.0.2.15,128.139.200.12,44340,443
1739448546.368765,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.369284,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.369284,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.369563,80,10.0.2.15,128.139.200.12,44340,443
1739448546.370413,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.370414,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.370414,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.370828,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.375585,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.375586,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.375586,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.375586,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.375586,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.375586,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.375586,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.375983,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.376919,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.379336,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.380391,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.380943,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.381142,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.381142,151,206.247.141.133,10.0.2.15,8801,54346
1739448546.382098,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.382433,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.382518,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.382766,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.382811,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.383067,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.383338,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.383482,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.383759,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.38414,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.38749,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.387664,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.387975,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.388346,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.38881,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.388956,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.389091,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.389226,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.389781,75,10.0.2.15,128.139.200.12,44340,443
1739448546.390033,75,10.0.2.15,128.139.200.12,44340,443
